function,year,amount,sheet
050 National Defense:,1976,0.0,hist05z1
051 Department of Defense-Military:,1976,0.0,hist05z1
Military Personnel,1976,32912.0,hist05z1
Operation and Maintenance,1976,28731.0,hist05z1
Procurement,1976,20991.0,hist05z1
"Research, Development, Test, and Evaluation",1976,9451.0,hist05z1
Military Construction,1976,2360.0,hist05z1
Family Housing,1976,1229.0,hist05z1
Other,1976,-170.0,hist05z1
"051 Subtotal, Department of Defense-Military",1976,95503.0,hist05z1
053 Atomic energy defense activities,1976,1682.0,hist05z1
054 Defense-related activities,1976,146.0,hist05z1
"Total, National Defense",1976,97331.0,hist05z1
150 International Affairs:,1976,0.0,hist05z1
151 International development and humanitarian assistance,1976,3076.0,hist05z1
152 International security assistance,1976,3712.0,hist05z1
153 Conduct of foreign affairs,1976,782.0,hist05z1
154 Foreign information and exchange activities,1976,423.0,hist05z1
155 International financial programs,1976,6063.0,hist05z1
"Total, International Affairs",1976,14057.0,hist05z1
"250 General Science, Space, and Technology:",1976,0.0,hist05z1
251 General science and basic research,1976,1039.0,hist05z1
"252 Space flight, research, and supporting activities",1976,3227.0,hist05z1
"Total, General Science, Space, and Technology",1976,4266.0,hist05z1
270 Energy:,1976,0.0,hist05z1
271 Energy supply,1976,14008.0,hist05z1
272 Energy conservation,1976,79.0,hist05z1
274 Emergency energy preparedness,1976,431.0,hist05z1
"276 Energy information, policy, and regulation",1976,651.0,hist05z1
"Total, Energy",1976,15169.0,hist05z1
300 Natural Resources and Environment:,1976,0.0,hist05z1
301 Water resources,1976,3036.0,hist05z1
302 Conservation and land management,1976,714.0,hist05z1
303 Recreational resources,1976,706.0,hist05z1
304 Pollution control and abatement,1976,684.0,hist05z1
306 Other natural resources,1976,916.0,hist05z1
"Total, Natural Resources and Environment",1976,6055.0,hist05z1
350 Agriculture:,1976,0.0,hist05z1
351 Farm income stabilization,1976,3833.0,hist05z1
352 Agricultural research and services,1976,927.0,hist05z1
"Total, Agriculture",1976,4760.0,hist05z1
370 Commerce and Housing Credit:,1976,0.0,hist05z1
371 Mortgage credit,1976,9737.0,hist05z1
372 Postal service,1976,1708.0,hist05z1
(On-budget),1976,1708.0,hist05z1
(Off-budget),1976,0.0,hist05z1
373 Deposit insurance,1976,0.0,hist05z1
376 Other advancement of commerce,1976,1082.0,hist05z1
"Total, Commerce and Housing Credit",1976,12528.0,hist05z1
(On-budget),1976,12528.0,hist05z1
(Off-budget),1976,0.0,hist05z1
400 Transportation:,1976,0.0,hist05z1
401 Ground transportation,1976,6904.0,hist05z1
402 Air transportation,1976,2311.0,hist05z1
403 Water transportation,1976,1615.0,hist05z1
407 Other transportation,1976,74.0,hist05z1
"Total, Transportation",1976,10905.0,hist05z1
450 Community and Regional Development:,1976,0.0,hist05z1
451 Community development,1976,2764.0,hist05z1
452 Area and regional development,1976,2604.0,hist05z1
