function,year,amount,sheet
Legislative Branch,1962,196.0,hist04z1
Judicial Branch,1962,57.0,hist04z1
Department of Agriculture,1962,6437.0,hist04z1
Department of Commerce,1962,215.0,hist04z1
Department of Defense--Military Programs,1962,50111.0,hist04z1
Department of Education,1962,816.0,hist04z1
Department of Energy,1962,2755.0,hist04z1
Department of Health and Human Services,1962,3529.0,hist04z1
Department of Homeland Security,1962,566.0,hist04z1
Department of Housing and Urban Development,1962,826.0,hist04z1
Department of the Interior,1962,606.0,hist04z1
Department of Justice,1962,236.0,hist04z1
Department of Labor,1962,3914.0,hist04z1
Department of State,1962,457.0,hist04z1
Department of Transportation,1962,3854.0,hist04z1
Department of the Treasury,1962,8474.0,hist04z1
Department of Veterans Affairs,1962,5608.0,hist04z1
Corps of Engineers--Civil Works,1962,944.0,hist04z1
Other Defense--Civil Programs,1962,956.0,hist04z1
Environmental Protection Agency,1962,70.0,hist04z1
Executive Office of the President,1962,12.0,hist04z1
General Services Administration,1962,382.0,hist04z1
International Assistance Programs,1962,3171.0,hist04z1
National Aeronautics and Space Administration,1962,1257.0,hist04z1
National Science Foundation,1962,183.0,hist04z1
Office of Personnel Management,1962,1017.0,hist04z1
Small Business Administration,1962,230.0,hist04z1
Social Security Administration (On-Budget),1962,0.0,hist04z1
Social Security Administration (Off-Budget),1962,14365.0,hist04z1
Other Independent Agencies (On-Budget),1962,2283.0,hist04z1
Other Independent Agencies (Off-Budget),1962,0.0,hist04z1
Undistributed Offsetting Receipts,1962,-6707.0,hist04z1
(On-budget),1962,-5878.0,hist04z1
(Off-budget),1962,-830.0,hist04z1
Total outlays,1962,106821.0,hist04z1
Legislative Branch,1963,192.0,hist04z1
Judicial Branch,1963,62.0,hist04z1
Department of Agriculture,1963,7414.0,hist04z1
Department of Commerce,1963,354.0,hist04z1
Department of Defense--Military Programs,1963,51147.0,hist04z1
Department of Education,1963,985.0,hist04z1
Department of Energy,1963,2700.0,hist04z1
Department of Health and Human Services,1963,4110.0,hist04z1
Department of Homeland Security,1963,642.0,hist04z1
Department of Housing and Urban Development,1963,-609.0,hist04z1
Department of the Interior,1963,730.0,hist04z1
Department of Justice,1963,256.0,hist04z1
Department of Labor,1963,3523.0,hist04z1
Department of State,1963,572.0,hist04z1
Department of Transportation,1963,4145.0,hist04z1
Department of the Treasury,1963,9553.0,hist04z1
Department of Veterans Affairs,1963,5501.0,hist04z1
Corps of Engineers--Civil Works,1963,1065.0,hist04z1
Other Defense--Civil Programs,1963,1077.0,hist04z1
Environmental Protection Agency,1963,87.0,hist04z1
Executive Office of the President,1963,13.0,hist04z1
General Services Administration,1963,425.0,hist04z1
International Assistance Programs,1963,3169.0,hist04z1
National Aeronautics and Space Administration,1963,2552.0,hist04z1
National Science Foundation,1963,206.0,hist04z1
Office of Personnel Management,1963,1175.0,hist04z1
Small Business Administration,1963,142.0,hist04z1
Social Security Administration (On-Budget),1963,0.0,hist04z1
Social Security Administration (Off-Budget),1963,15788.0,hist04z1
Other Independent Agencies (On-Budget),1963,1615.0,hist04z1
Other Independent Agencies (Off-Budget),1963,0.0,hist04z1
Undistributed Offsetting Receipts,1963,-7274.0,hist04z1
(On-budget),1963,-6450.0,hist04z1
(Off-budget),1963,-824.0,hist04z1
Total outlays,1963,111316.0,hist04z1
Legislative Branch,1964,199.0,hist04z1
Judicial Branch,1964,66.0,hist04z1
Department of Agriculture,1964,7569.0,hist04z1
Department of Commerce,1964,702.0,hist04z1
Department of Defense--Military Programs,1964,52585.0,hist04z1
Department of Education,1964,973.0,hist04z1
Department of Energy,1964,2726.0,hist04z1
Department of Health and Human Services,1964,4610.0,hist04z1
Department of Homeland Security,1964,747.0,hist04z1
Department of Housing and Urban Development,1964,73.0,hist04z1
Department of the Interior,1964,755.0,hist04z1
Department of Justice,1964,275.0,hist04z1
Department of Labor,1964,3454.0,hist04z1
Department of State,1964,455.0,hist04z1
Department of Transportation,1964,4736.0,hist04z1
Department of the Treasury,1964,10289.0,hist04z1
Department of Veterans Affairs,1964,5662.0,hist04z1
Corps of Engineers--Civil Works,1964,1091.0,hist04z1
Other Defense--Civil Programs,1964,1287.0,hist04z1
Environmental Protection Agency,1964,117.0,hist04z1
Executive Office of the President,1964,15.0,hist04z1
General Services Administration,1964,520.0,hist04z1
International Assistance Programs,1964,3226.0,hist04z1
National Aeronautics and Space Administration,1964,4171.0,hist04z1
National Science Foundation,1964,310.0,hist04z1
Office of Personnel Management,1964,1304.0,hist04z1
Small Business Administration,1964,133.0,hist04z1
Social Security Administration (On-Budget),1964,0.0,hist04z1
Social Security Administration (Off-Budget),1964,16620.0,hist04z1
Other Independent Agencies (On-Budget),1964,1178.0,hist04z1
Other Independent Agencies (Off-Budget),1964,0.0,hist04z1
Undistributed Offsetting Receipts,1964,-7321.0,hist04z1
(On-budget),1964,-6435.0,hist04z1
(Off-budget),1964,-886.0,hist04z1
Total outlays,1964,118528.0,hist04z1
Legislative Branch,1965,212.0,hist04z1
Judicial Branch,1965,75.0,hist04z1
Department of Agriculture,1965,6940.0,hist04z1
Department of Commerce,1965,736.0,hist04z1
Department of Defense--Military Programs,1965,48780.0,hist04z1
Department of Education,1965,1152.0,hist04z1
Department of Energy,1965,2579.0,hist04z1
Department of Health and Human Services,1965,4700.0,hist04z1
Department of Homeland Security,1965,774.0,hist04z1
Department of Housing and Urban Development,1965,492.0,hist04z1
Department of the Interior,1965,745.0,hist04z1
Department of Justice,1965,327.0,hist04z1
Department of Labor,1965,3121.0,hist04z1
Department of State,1965,552.0,hist04z1
Department of Transportation,1965,5201.0,hist04z1
Department of the Treasury,1965,10791.0,hist04z1
Department of Veterans Affairs,1965,5710.0,hist04z1
Corps of Engineers--Civil Works,1965,1171.0,hist04z1
Other Defense--Civil Programs,1965,1465.0,hist04z1
Environmental Protection Agency,1965,134.0,hist04z1
Executive Office of the President,1965,16.0,hist04z1
General Services Administration,1965,612.0,hist04z1
International Assistance Programs,1965,3248.0,hist04z1
National Aeronautics and Space Administration,1965,5092.0,hist04z1
National Science Foundation,1965,309.0,hist04z1
Office of Personnel Management,1965,1454.0,hist04z1
Small Business Administration,1965,243.0,hist04z1
Social Security Administration (On-Budget),1965,0.0,hist04z1
Social Security Administration (Off-Budget),1965,17460.0,hist04z1
Other Independent Agencies (On-Budget),1965,1815.0,hist04z1
Other Independent Agencies (Off-Budget),1965,0.0,hist04z1
Undistributed Offsetting Receipts,1965,-7677.0,hist04z1
(On-budget),1965,-6746.0,hist04z1
(Off-budget),1965,-931.0,hist04z1
Total outlays,1965,118228.0,hist04z1
Legislative Branch,1966,234.0,hist04z1
Judicial Branch,1966,80.0,hist04z1
Department of Agriculture,1966,5633.0,hist04z1
Department of Commerce,1966,485.0,hist04z1
Department of Defense--Military Programs,1966,56629.0,hist04z1
Department of Education,1966,2416.0,hist04z1
Department of Energy,1966,2343.0,hist04z1
Department of Health and Human Services,1966,5715.0,hist04z1
Department of Homeland Security,1966,705.0,hist04z1
Department of Housing and Urban Development,1966,2482.0,hist04z1
Department of the Interior,1966,866.0,hist04z1
Department of Justice,1966,305.0,hist04z1
Department of Labor,1966,3239.0,hist04z1
Department of State,1966,629.0,hist04z1
Department of Transportation,1966,5145.0,hist04z1
Department of the Treasury,1966,11761.0,hist04z1
Department of Veterans Affairs,1966,5962.0,hist04z1
Corps of Engineers--Civil Works,1966,1245.0,hist04z1
Other Defense--Civil Programs,1966,1681.0,hist04z1
Environmental Protection Agency,1966,158.0,hist04z1
Executive Office of the President,1966,16.0,hist04z1
General Services Administration,1966,561.0,hist04z1
International Assistance Programs,1966,3260.0,hist04z1
National Aeronautics and Space Administration,1966,5933.0,hist04z1
National Science Foundation,1966,368.0,hist04z1
Office of Personnel Management,1966,1726.0,hist04z1
Small Business Administration,1966,210.0,hist04z1
Social Security Administration (On-Budget),1966,0.0,hist04z1
Social Security Administration (Off-Budget),1966,20694.0,hist04z1
Other Independent Agencies (On-Budget),1966,2494.0,hist04z1
Other Independent Agencies (Off-Budget),1966,0.0,hist04z1
Undistributed Offsetting Receipts,1966,-8443.0,hist04z1
(On-budget),1966,-7464.0,hist04z1
(Off-budget),1966,-979.0,hist04z1
Total outlays,1966,134532.0,hist04z1
Legislative Branch,1967,252.0,hist04z1
Judicial Branch,1967,88.0,hist04z1
Department of Agriculture,1967,5952.0,hist04z1
Department of Commerce,1967,477.0,hist04z1
Department of Defense--Military Programs,1967,70069.0,hist04z1
Department of Education,1967,3596.0,hist04z1
Department of Energy,1967,2253.0,hist04z1
Department of Health and Human Services,1967,9639.0,hist04z1
Department of Homeland Security,1967,782.0,hist04z1
Department of Housing and Urban Development,1967,3093.0,hist04z1
Department of the Interior,1967,863.0,hist04z1
Department of Justice,1967,336.0,hist04z1
Department of Labor,1967,3562.0,hist04z1
Department of State,1967,655.0,hist04z1
Department of Transportation,1967,5242.0,hist04z1
Department of the Treasury,1967,12737.0,hist04z1
Department of Veterans Affairs,1967,6691.0,hist04z1
Corps of Engineers--Civil Works,1967,1273.0,hist04z1
Other Defense--Civil Programs,1967,1937.0,hist04z1
Environmental Protection Agency,1967,190.0,hist04z1
Executive Office of the President,1967,19.0,hist04z1
General Services Administration,1967,629.0,hist04z1
International Assistance Programs,1967,3375.0,hist04z1
National Aeronautics and Space Administration,1967,5425.0,hist04z1
National Science Foundation,1967,415.0,hist04z1
Office of Personnel Management,1967,1934.0,hist04z1
Small Business Administration,1967,151.0,hist04z1
Social Security Administration (On-Budget),1967,94.0,hist04z1
Social Security Administration (Off-Budget),1967,21631.0,hist04z1
Other Independent Agencies (On-Budget),1967,3683.0,hist04z1
Other Independent Agencies (Off-Budget),1967,0.0,hist04z1
Undistributed Offsetting Receipts,1967,-9578.0,hist04z1
(On-budget),1967,-8371.0,hist04z1
(Off-budget),1967,-1207.0,hist04z1
Total outlays,1967,157464.0,hist04z1
Legislative Branch,1968,269.0,hist04z1
Judicial Branch,1968,94.0,hist04z1
Department of Agriculture,1968,7430.0,hist04z1
Department of Commerce,1968,582.0,hist04z1
Department of Defense--Military Programs,1968,80355.0,hist04z1
Department of Education,1968,4072.0,hist04z1
Department of Energy,1968,2474.0,hist04z1
Department of Health and Human Services,1968,13074.0,hist04z1
Department of Homeland Security,1968,973.0,hist04z1
Department of Housing and Urban Development,1968,3727.0,hist04z1
Department of the Interior,1968,973.0,hist04z1
Department of Justice,1968,359.0,hist04z1
Department of Labor,1968,4180.0,hist04z1
Department of State,1968,645.0,hist04z1
Department of Transportation,1968,5555.0,hist04z1
Department of the Treasury,1968,14290.0,hist04z1
Department of Veterans Affairs,1968,7018.0,hist04z1
Corps of Engineers--Civil Works,1968,1252.0,hist04z1
Other Defense--Civil Programs,1968,2206.0,hist04z1
Environmental Protection Agency,1968,249.0,hist04z1
Executive Office of the President,1968,21.0,hist04z1
General Services Administration,1968,482.0,hist04z1
International Assistance Programs,1968,2814.0,hist04z1
National Aeronautics and Space Administration,1968,4722.0,hist04z1
National Science Foundation,1968,449.0,hist04z1
Office of Personnel Management,1968,2154.0,hist04z1
Small Business Administration,1968,284.0,hist04z1
Social Security Administration (On-Budget),1968,94.0,hist04z1
Social Security Administration (Off-Budget),1968,23760.0,hist04z1
Other Independent Agencies (On-Budget),1968,4290.0,hist04z1
Other Independent Agencies (Off-Budget),1968,0.0,hist04z1
Undistributed Offsetting Receipts,1968,-10712.0,hist04z1
(On-budget),1968,-9289.0,hist04z1
(Off-budget),1968,-1424.0,hist04z1
Total outlays,1968,178134.0,hist04z1
Legislative Branch,1969,289.0,hist04z1
Judicial Branch,1969,110.0,hist04z1
Department of Agriculture,1969,8446.0,hist04z1
Department of Commerce,1969,607.0,hist04z1
Department of Defense--Military Programs,1969,80771.0,hist04z1
Department of Education,1969,3990.0,hist04z1
Department of Energy,1969,2393.0,hist04z1
Department of Health and Human Services,1969,15411.0,hist04z1
Department of Homeland Security,1969,1055.0,hist04z1
Department of Housing and Urban Development,1969,713.0,hist04z1
Department of the Interior,1969,1073.0,hist04z1
Department of Justice,1969,423.0,hist04z1
Department of Labor,1969,4161.0,hist04z1
Department of State,1969,631.0,hist04z1
Department of Transportation,1969,5724.0,hist04z1
Department of the Treasury,1969,16473.0,hist04z1
Department of Veterans Affairs,1969,7670.0,hist04z1
Corps of Engineers--Civil Works,1969,1222.0,hist04z1
Other Defense--Civil Programs,1969,2557.0,hist04z1
Environmental Protection Agency,1969,303.0,hist04z1
Executive Office of the President,1969,24.0,hist04z1
General Services Administration,1969,526.0,hist04z1
International Assistance Programs,1969,2803.0,hist04z1
National Aeronautics and Space Administration,1969,4251.0,hist04z1
National Science Foundation,1969,490.0,hist04z1
Office of Personnel Management,1969,2284.0,hist04z1
Small Business Administration,1969,110.0,hist04z1
Social Security Administration (On-Budget),1969,414.0,hist04z1
Social Security Administration (Off-Budget),1969,26885.0,hist04z1
Other Independent Agencies (On-Budget),1969,2918.0,hist04z1
Other Independent Agencies (Off-Budget),1969,0.0,hist04z1
Undistributed Offsetting Receipts,1969,-11087.0,hist04z1
(On-budget),1969,-9407.0,hist04z1
(Off-budget),1969,-1681.0,hist04z1
